Index,Reference.Paper,Year,Country,Type,Depth,Surface.Area,Flow,Hydraulic.Residence.Time..tau.,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
402,Maehlum,1995,Norway,CWUF,0.9,325,21900,5,4.5,3.3,6.2030985660767923E-2,7.2727272727272751E-2,NA,NA,NA,NA,1.2E-2,9.0000000000000011E-3,5.7536414490356159E-2,6.6666666666666652E-2,NA,NA,NA,NA
403,Maehlum,1995,Norway,CWSF,NA,2000,43800,2,6.6,3,0.39422868018213503,0.59999999999999987,NA,NA,NA,NA,1.8000000000000002E-2,1.6800000000000002E-2,3.4496435743475717E-2,3.5714285714285698E-2,NA,NA,NA,NA
404,Bolan,2004,New Zealand,CWSF,1.5,2096,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7127853314139818E-3,1.8518518518518511E-3,NA,NA,1.7127853314139818E-3,1.8518518518518511E-3
405,Gumbricht,1992,Sweden,CWSF,0.6,12000,2190000,1,58.8,45,0.2674793651342614,0.30666666666666664,NA,NA,NA,NA,1.5599999999999998,0.4200000000000001,1.3121863889661687,2.7142857142857135,NA,NA,NA,NA
406,Alaoui-Mhamdi et al.,1996,Morocco,Reservoir,3.9,2400000,120065260.09999999,764.53740370570893,2492.0547945205481,1854.2465753424658,4.1526677649379395E-5,4.2192918697992475E-5,1728.8767123287671,NA,NA,NA,52.228443661597261,35.935797086254794,3.775714415047766E-3,2.2148791221615019E-2,NA,NA,NA,NA
407,Alaoui-Mhamdi&Aleya,1995,Morocco,Reservoir,18.689173841151771,129620923.67431827,1511208052.6831155,551.59093922933721,NA,NA,NA,NA,NA,NA,NA,NA,1570.9203069329005,141.85346349067521,4.3594304416883153E-3,1.8263982210824412E-2,NA,NA,NA,NA
408,Brandl,1973,Czech_Republic,Reservoir,9.1,48600000,158000000,130.16466097651983,0.32076164383561645,0.2432767123287671,NA,NA,NA,NA,NA,NA,585.88232772903189,197.0834531758654,4.888947114401348E-3,6.8344635101728439E-3,NA,NA,NA,NA
409,Brigault and Ruban  Ruban and Demare 1998,1999,France,Reservoir,13.2,85700000,166000000,91.25,0.31471780821917811,0.58577534246575336,NA,NA,NA,NA,NA,NA,860.68464619707743,576.9014222882796,8.083276089104429E-3,1.195516811955168E-2,NA,NA,NA,NA
410,Burford et al,2012,Australia,Reservoir,4.5,500000,30000000,7300,NA,NA,NA,NA,NA,NA,NA,NA,111.41278770997808,73.057565718694789,2.1655972746652871E-4,5.2866565195332314E-4,NA,NA,NA,NA
411,Chalar&Tundisi,2011,Brazil,Reservoir,25.705882352941178,1316006.1784897023,410000000,20,NA,NA,NA,NA,NA,NA,NA,NA,3.0136245860240511,2.0344431648505452,6.9631033666753897E-3,7.4712643678161023E-3,NA,NA,NA,NA
412,Cook et al,2010,Australia,Reservoir,10.866666666666665,105644.17177914111,70000000,109.5,NA,NA,6.725711430894839E-4,6.9795675617224766E-4,NA,NA,2.3066015016513751E-2,0.10502283105022836,0.54793174291346392,0.58409523794575213,7.3129536963168042E-3,1.1207778608093116E-2,NA,NA,NA,NA
413,Cunha et al,2014,Kansas (USA),Reservoir,3.8,21200000,490000000,91.25,3.8716712328767118,2.937315068493151,5.804931555651917E-3,7.6539475390000455E-3,NA,NA,1.6528535861324238E-3,1.7840076457470537E-3,138.68501300290356,100.84954339509616,1.1467848227696505E-2,2.0246567055480631E-2,NA,NA,NA,NA
414,Cunha et al,2014,Kansas (USA),Reservoir,4.4000000000000004,8000000,302000000,153.29999999999998,1.98492602739726,0.79016438356164376,NA,NA,NA,NA,7.60168403496096E-4,8.0623291335927931E-4,29.122390701498635,8.7814226347720687,8.6506574051102274E-3,1.804630438986423E-2,NA,NA,NA,NA
415,Cunha et al,2014,Kansas (USA),Reservoir,8.9,21000000,400000000,547.5,NA,NA,NA,NA,NA,NA,1.1943862418386556E-3,1.6859852476290829E-3,49.313856859270409,30.136245863628766,1.0711011403924313E-3,1.456722991709788E-3,NA,NA,NA,NA
416,Cunha et al,2014,Kansas (USA),Reservoir,9.0399999999999991,6516371.6814159304,40000000,850.45,NA,NA,NA,NA,NA,NA,5.8121738116853443E-4,7.5177172355233332E-4,8540.6942665535971,7125.2720568738514,8.0850400784345292E-4,1.1628207492507757E-3,NA,NA,NA,NA
417,Cunha et al,2014,Kansas (USA),Reservoir,9.3000000000000007,35483870.967741936,38000000,30.295000000000002,0.17677808219178082,0.16126575342465752,NA,NA,NA,NA,2.709953959629742E-2,4.2011132950231816E-2,1539.3277161770218,1249.0680849968105,3.6232387511963171E-2,6.5923255730526473E-2,NA,NA,NA,NA
418,Cunha et al,2014,Kansas (USA),Reservoir,5,230000000,23000000,365,7.4041095890410955E-2,7.2339726027397258E-2,NA,NA,NA,NA,1.0971988125948642E-3,1.3494172970762632E-3,18246.127039018342,16848.901094589015,2.8625657903772763E-3,5.0491334365505586E-3,NA,NA,NA,NA
419,Donald et al,2015,Saskatchewan (Canada),Reservoir,7.9,41000000,158000000,401.50000000000006,0.88393424657534259,0.53243835616438362,2.5445859216238638E-3,4.4278400442783993E-3,NA,NA,NA,NA,380.22353470122539,262.84285707558854,6.9995742222232335E-3,3.8892614235079948E-2,NA,NA,NA,NA
420,Duras and Hejzlar,2001,Czech_Republic,Reservoir,7.0978723404255302,235000,122058306.98981382,13.87,NA,NA,NA,NA,NA,NA,NA,NA,6.6267171829730325,1.3333005744227617,3.9268000882588423E-2,5.219899062725307E-2,NA,NA,NA,NA
421,Duras and Hejzlar,2001,Czech_Republic,Reservoir,1.5,1700000,13000000,22.995000000000001,0.1451013698630137,0.135413698630137,NA,NA,NA,NA,NA,NA,143.806793357419,112.26173068895675,7.8966654319380294E-3,8.6590582408257247E-3,NA,NA,NA,NA
422,Galicka,2001,Poland,Reservoir,17.8,114100000,955000000,30.582138910489913,2.6766164383561644,2.0303561643835613,NA,NA,NA,NA,NA,NA,368.80979806480133,94.387341684830716,1.3544369872955622E-2,1.6780501833446315E-2,NA,NA,NA,NA
423,Garnier et al,1999,France,Reservoir,13.5,1560000,245000000,146,0.77057534246575343,0.77057534246575343,NA,NA,NA,NA,NA,NA,3.2969835730735846,2.5904870931292443,3.3731266090802582E-3,4.3586550416579231E-3,NA,NA,NA,NA
424,Garnier et al,1999,France,Reservoir,5.0999999999999996,14530000,224000000,40.15,1.7699068493150685,1.2820164383561643,NA,NA,NA,NA,NA,NA,339.69082705869693,52.113720800093589,1.1706192509233767E-2,1.4943960149439613E-2,NA,NA,NA,NA
425,Garnier et al,1999,France,Reservoir,9.8000000000000007,8300000,21000000,167.9,NA,NA,NA,NA,NA,NA,NA,NA,492.37876993861073,484.95064194384724,6.7924919496707972E-3,1.2675432563495705E-2,NA,NA,NA,NA
426,Garnier et al,1999,France,Reservoir,33,8580000,250000000,226.3,NA,NA,NA,NA,NA,NA,NA,NA,331.79295890410958,158.6835890410959,2.0769051226059909E-3,2.6513477684489625E-3,NA,NA,NA,NA
427,Hejzlar,unpublished,Czech_Republic,Reservoir,3,3000000,82000000,110.00291068404678,NA,NA,NA,NA,NA,NA,NA,NA,8.9312554794520551,7.5751472246575338,-2.7549588739858577E-4,-2.7136324014547832E-4,NA,NA,NA,NA
428,Hejzlar,unpublished,Czech_Republic,Reservoir,20.9,182700000,437000000,204.03561688879105,0.90872054794520551,0.92907397260273961,NA,NA,NA,NA,NA,NA,450.04683404747681,294.44553504170017,3.2128813425554258E-3,4.5393381717669448E-3,NA,NA,NA,NA
429,Hejzlar,unpublished,Czech_Republic,Reservoir,43,13200000,3900000000,30.187074829931976,NA,NA,NA,NA,NA,NA,NA,NA,1.5827439183975067,1.5441404084203558,2.6698295221875407E-2,4.1037685195932108E-2,NA,NA,NA,NA
430,Hejzlar,unpublished,Czech_Republic,Reservoir,2,81999.999999999985,298217965.81403804,110.90544912810043,NA,NA,NA,NA,NA,NA,NA,NA,0.19636406426573627,0.14463644631338116,4.7163828279581438E-3,6.1963025867149135E-3,NA,NA,NA,NA
431,Hejzlar,unpublished,Czech_Republic,Reservoir,13.5,33310000,575000000,99.374893214011834,2.2259589041095893,1.1405479452054794,NA,NA,NA,NA,NA,NA,42.637339544866215,23.99689461821616,8.2986982454422743E-3,1.2892147864775161E-2,NA,NA,NA,NA
432,Hejzlar,unpublished,Czech_Republic,Reservoir,3.6,105200000,123000000,8.8777912169718682,1.404895890410959,1.2235972602739726,NA,NA,NA,NA,NA,NA,1691.312938620955,1013.9442155722633,4.4528769515224297E-2,5.4614371976777334E-2,NA,NA,NA,NA
433,Hejzlar,unpublished,Czech_Republic,Reservoir,5.4666666666666668,4847926.8292682916,20000000,36.648659433281146,NA,NA,NA,NA,NA,NA,NA,NA,9108.817294193419,7540.1783010721401,6.6922117843048381E-3,7.584296312952786E-3,NA,NA,NA,NA
